iter	Logloss
0	0.6808691285
1	0.6696049276
2	0.6598957714
3	0.6499694048
4	0.6411945064
5	0.6325169992
6	0.6250641447
7	0.6186937297
8	0.6121437382
9	0.6057549925
10	0.6002116768
11	0.5947029202
12	0.5894904332
13	0.584523642
14	0.5800975883
15	0.5759894733
16	0.5716587953
17	0.567547755
18	0.5640930206
19	0.5608074028
20	0.5574022859
21	0.5545526807
22	0.5515394287
23	0.5486737163
24	0.5454928063
25	0.5427221101
26	0.5406053834
27	0.5380147962
28	0.5357334365
29	0.5336456869
30	0.5315049218
31	0.5295486099
32	0.5273077328
33	0.525227867
34	0.5230898879
35	0.5208385794
36	0.5188805021
37	0.5168710995
38	0.5151688032
39	0.5134154478
40	0.5119089312
41	0.5103155602
42	0.5088757004
43	0.5067943793
44	0.5047780432
45	0.5032151473
46	0.5016680517
47	0.5002147281
48	0.4987521329
49	0.4972445485
50	0.4960525681
51	0.4947049921
52	0.4931289053
53	0.4918270748
54	0.4903778625
55	0.4890144549
56	0.4878513355
57	0.4866996842
58	0.4852907853
59	0.4841642773
60	0.4827938487
61	0.4817176656
62	0.4805557801
63	0.4794103278
64	0.4782330105
65	0.4770180804
66	0.4759467071
67	0.4747401868
68	0.4738326898
69	0.4728046459
70	0.471884556
71	0.4707656476
72	0.4696572254
73	0.4686410038
74	0.4677926089
75	0.4667779392
76	0.4658804888
77	0.464975867
78	0.4639994334
79	0.4631317335
80	0.4622692355
81	0.461490816
82	0.4606491682
83	0.4596787249
84	0.4587469014
85	0.4579240968
86	0.457165259
87	0.456220016
88	0.4553733
89	0.4546015363
90	0.4537392026
91	0.4528228333
92	0.4520266288
93	0.4511945893
94	0.4503555794
95	0.4495828451
96	0.4488015726
97	0.447953015
98	0.4472645765
99	0.4464759023
100	0.4457806602
101	0.4450552262
102	0.4442529667
103	0.4435652321
104	0.4428439572
105	0.4421575336
106	0.4414896774
107	0.4408225399
108	0.4403154176
109	0.4396563261
110	0.4388696942
111	0.4382932493
112	0.4374298694
113	0.4368619578
114	0.4362021231
115	0.4356826854
116	0.4350630127
117	0.434524522
118	0.4338503514
119	0.433177132
120	0.4326613569
121	0.4317167328
122	0.4311366896
123	0.4305434235
124	0.4299938654
125	0.4293727202
126	0.4288108156
127	0.4282776334
128	0.4276650752
129	0.4272004734
130	0.4266483379
131	0.4260091961
132	0.4253897674
133	0.4248893925
134	0.4243848003
135	0.4239178719
136	0.4234390213
137	0.4229650475
138	0.422460031
139	0.4218325986
140	0.4213182511
141	0.4207855569
142	0.4201388448
143	0.4195973215
144	0.4190962891
145	0.418628677
146	0.4181418053
147	0.4175872113
148	0.4171006139
149	0.4165822616
150	0.4160943122
151	0.4155936839
152	0.4151638765
153	0.4147006369
154	0.4142509367
155	0.4137876773
156	0.4132523599
157	0.4128117706
158	0.4123357364
159	0.4117920817
160	0.411235404
161	0.4106728672
162	0.4102289575
163	0.4098585529
164	0.4093723417
165	0.4089625676
166	0.408485372
167	0.4080155597
168	0.4076537937
169	0.4072189629
170	0.4068319884
171	0.4064081026
172	0.4059779469
173	0.4055469133
174	0.4051060946
175	0.4046133561
176	0.4040956546
177	0.4036638303
178	0.4032744133
179	0.4028712688
180	0.4024458404
181	0.4021362104
182	0.4017758525
183	0.4013877483
184	0.4009662449
185	0.400541729
186	0.4001612397
187	0.3997203827
188	0.3993185648
189	0.3989117578
190	0.3984283177
191	0.3980297448
192	0.3976635852
193	0.3972512713
194	0.3968816071
195	0.3965355719
196	0.396187499
197	0.3957524275
198	0.3952154367
199	0.3947888761
200	0.3943848785
201	0.3937952374
202	0.3934242025
203	0.3930674009
204	0.3926997079
205	0.3923573417
206	0.3919810968
207	0.3916045372
208	0.3912128825
209	0.3908568977
210	0.3904986044
211	0.3902354953
212	0.3898677447
213	0.3894781272
214	0.3891534939
215	0.3888145784
216	0.3884144909
217	0.3881293405
218	0.38772135
219	0.3874211467
220	0.3870809519
221	0.3867395049
222	0.3862939942
223	0.3859464648
224	0.3856293142
225	0.385056293
226	0.3846723257
227	0.384070577
228	0.3837613417
229	0.3834873726
230	0.3831873967
231	0.3828419608
232	0.3824355455
233	0.3819596907
234	0.3816369349
235	0.381273378
236	0.3807684964
237	0.38042863
238	0.3801405072
239	0.3798283129
240	0.3795399254
241	0.3792186467
242	0.3789013997
243	0.3785465099
244	0.3778162755
245	0.3772201225
246	0.376820513
247	0.3764903777
248	0.3760537224
249	0.3757219969
250	0.3753012523
251	0.3749973397
252	0.3745490746
253	0.3742512172
254	0.3739120938
255	0.373613755
256	0.3733144736
257	0.3727519294
258	0.3724845115
259	0.3721072665
260	0.3718352519
261	0.3714809674
262	0.3711454317
263	0.370794736
264	0.3704731241
265	0.3702063868
266	0.3698985616
267	0.3695309595
268	0.3692037311
269	0.3688913106
270	0.3686250035
271	0.3682970516
272	0.3679264915
273	0.3676408984
274	0.3673371924
275	0.3669692593
276	0.3665898982
277	0.36630159
278	0.3660039326
279	0.3657099186
280	0.3654118513
281	0.3650310784
282	0.3647462473
283	0.3644079731
284	0.3640265766
285	0.3637411694
286	0.3633647555
287	0.3630823702
288	0.3628161056
289	0.3625251282
290	0.3621521355
291	0.3617912126
292	0.3614540371
293	0.361193558
294	0.3609015853
295	0.3604868871
296	0.3602249093
297	0.3598653297
298	0.3595757455
299	0.3592893257
300	0.3589588292
301	0.3586370752
302	0.3583826391
303	0.3581136011
304	0.3576795046
305	0.3574123779
306	0.3571296613
307	0.3568688807
308	0.3566197706
309	0.3563413852
310	0.3560714423
311	0.355679328
312	0.355388048
313	0.3550651454
314	0.3546482789
315	0.3544195748
316	0.3541213571
317	0.3538735829
318	0.3535760461
319	0.3532395191
320	0.3529490453
321	0.3526683548
322	0.3523413593
323	0.352067666
324	0.3517743857
325	0.351553942
326	0.3512989956
327	0.3510435344
328	0.3506883281
329	0.3504415552
330	0.350181311
331	0.3498461476
332	0.3495872645
333	0.3493303659
334	0.349085047
335	0.3488188106
336	0.3485921853
337	0.3482967098
338	0.3478769458
339	0.3475830708
340	0.3473284973
341	0.3471012564
342	0.3467841437
343	0.3465344032
344	0.3463008946
345	0.3459972332
346	0.3457452756
347	0.3454889092
348	0.345122577
349	0.3448915616
350	0.3446246196
351	0.3443945993
352	0.3441154977
353	0.3438836551
354	0.3436728242
355	0.3434385668
356	0.343185359
357	0.3429401244
358	0.342721994
359	0.3424750872
360	0.3421885196
361	0.3419794726
362	0.3417581627
363	0.3413966689
364	0.3411393318
365	0.3407919185
366	0.3405592972
367	0.3403149433
368	0.3400971454
369	0.3398607126
370	0.3396474297
371	0.3393931136
372	0.3391650122
373	0.3389288284
374	0.3387283573
375	0.3384519351
376	0.3380381459
377	0.3378087519
378	0.3375879915
379	0.3373818967
380	0.3371577782
381	0.3369372662
382	0.3366959738
383	0.3365022251
384	0.3362799979
385	0.3359902754
386	0.3356964307
387	0.3354608916
388	0.3352396579
389	0.3349969646
390	0.3348078594
391	0.3345301874
392	0.3342676801
393	0.3340085481
394	0.3337671948
395	0.3335582608
396	0.3333301928
397	0.3331181371
398	0.3329100598
399	0.3327052209
400	0.3324418798
401	0.3322192775
402	0.3320309073
403	0.3318441992
404	0.3315698534
405	0.3313781933
406	0.3310961169
407	0.3309021676
408	0.3306470294
409	0.3304456612
410	0.3302467304
411	0.3299780461
412	0.3297826794
413	0.3295819714
414	0.3294015046
415	0.329201533
416	0.3290452049
417	0.32885624
418	0.3286180436
419	0.3284590732
420	0.3282781067
421	0.3280762794
422	0.3278057296
423	0.3276036352
424	0.3274375388
425	0.3272161682
426	0.3270028867
427	0.3267782687
428	0.3266461592
429	0.3263951335
430	0.326202218
431	0.3259957651
432	0.3257843741
433	0.325500963
434	0.3253113781
435	0.3250634192
436	0.3248184482
437	0.3246258085
438	0.3244207605
439	0.3242656894
440	0.3240710836
441	0.3238658433
442	0.3236640955
443	0.3234810632
444	0.3232618176
445	0.3230663611
446	0.3229147214
447	0.322719895
448	0.3225090483
449	0.3222327917
450	0.3219113228
451	0.3217551081
452	0.3215644892
453	0.3213801789
454	0.3211940468
455	0.32102209
456	0.3208251972
457	0.3206160099
458	0.3204339431
459	0.3202005098
460	0.3200134509
461	0.3198571574
462	0.3196559607
463	0.319486584
464	0.3192970259
465	0.3190120327
466	0.3188237342
467	0.3186541242
468	0.3184598718
469	0.3182850975
470	0.3181195322
471	0.3179294435
472	0.3177383839
473	0.3175380903
474	0.3173495249
475	0.3171462659
476	0.3169648226
477	0.3167799046
478	0.3165983931
479	0.3164295414
480	0.3161889238
481	0.3160359624
482	0.3158648751
483	0.3156884976
484	0.3154758344
485	0.3152995517
486	0.3150520464
487	0.314871675
488	0.3146976816
489	0.3145221302
490	0.3143250964
491	0.3141529467
492	0.3139941692
493	0.3136799943
494	0.3134823352
495	0.3133243219
496	0.3131333042
497	0.3129721461
498	0.3127852429
499	0.3126115346
500	0.3124414464
501	0.3122878735
502	0.3121402251
503	0.3120449601
504	0.3116880302
505	0.3115764724
506	0.3113830593
507	0.3112155762
508	0.3110148433
509	0.3107944859
510	0.3106181816
511	0.3103929747
512	0.3102260344
513	0.3100447085
514	0.3098808101
515	0.3097344366
516	0.3095808749
517	0.3094070279
518	0.3092174942
519	0.3090603805
520	0.3089786256
521	0.3088085326
522	0.3086644018
523	0.308367447
524	0.3081829946
525	0.3080297697
526	0.3078446067
527	0.3076956453
528	0.3074982354
529	0.3072873883
530	0.3071503913
531	0.3070009624
532	0.306800966
533	0.3066741691
534	0.3064676102
535	0.3062990002
536	0.3061365575
537	0.3059828915
538	0.3058571577
539	0.3057692397
540	0.3056063351
541	0.3054452148
542	0.3052617539
543	0.3051036357
544	0.3049307778
545	0.3047833232
546	0.3046399388
547	0.3044419332
548	0.3042577562
549	0.3041275372
550	0.3039572783
551	0.3037986932
552	0.3035442487
553	0.3034156697
554	0.3032516791
555	0.303115351
556	0.3029770594
557	0.3028363515
558	0.3026943351
559	0.302551506
560	0.3024055498
561	0.3023239029
562	0.3021756318
563	0.3020264551
564	0.3018687677
565	0.3017341505
566	0.3016106697
567	0.3014718464
568	0.3013168499
569	0.3011638148
570	0.3010103458
571	0.300871362
572	0.3007035732
573	0.3005518836
574	0.300371339
575	0.3002393698
576	0.3000964665
577	0.2999676579
578	0.2998055145
579	0.2996619829
580	0.2994870588
581	0.2993306937
582	0.2991745699
583	0.2989967741
584	0.2988319133
585	0.2986626672
586	0.2985268136
587	0.2983561136
588	0.298247158
589	0.2980339112
590	0.2978973961
591	0.2976630455
592	0.2975614144
593	0.2972930038
594	0.2971480061
595	0.297016301
596	0.2968494501
597	0.2967278275
598	0.2965882709
599	0.2964564968
600	0.2963764327
601	0.2962531918
602	0.2961490903
603	0.2960248072
604	0.2958728795
605	0.2957177555
606	0.2955585196
607	0.2954491071
608	0.2953029188
609	0.2951700962
610	0.29495682
611	0.2948263966
612	0.2946991601
613	0.294563623
614	0.2944161886
615	0.2942553731
616	0.2940928902
617	0.2939191491
618	0.2937972028
619	0.2936907896
620	0.2935664936
621	0.2933995473
622	0.2932682058
623	0.2931245274
624	0.2929912112
625	0.2927850645
626	0.2926163704
627	0.2925016741
628	0.2923831625
629	0.2923224468
630	0.2921864751
631	0.2920159724
632	0.2918915635
633	0.2917687634
634	0.2916340921
635	0.2914781037
636	0.2913345978
637	0.2911892191
638	0.2910783939
639	0.2909696055
640	0.2906306003
641	0.2904956312
642	0.2903544913
643	0.290274408
644	0.2900894858
645	0.2899630546
646	0.2898407396
647	0.289694438
648	0.2895597373
649	0.2894208041
650	0.2892938047
651	0.2891796022
652	0.289045284
653	0.2888330083
654	0.2887090723
655	0.288650381
656	0.2885237896
657	0.2883894811
658	0.2882627337
659	0.2881364062
660	0.2880121622
661	0.287885588
662	0.2877722745
663	0.2876472817
664	0.2875463108
665	0.287387424
