iter	Passed	Remaining
0	96	96731
1	176	88060
2	256	85328
3	335	83650
4	414	82491
5	494	81898
6	573	81316
7	650	80607
8	729	80379
9	808	80054
10	887	79773
11	963	79346
12	1043	79198
13	1124	79222
14	1212	79613
15	1293	79524
16	1372	79362
17	1450	79138
18	1527	78891
19	1607	78765
20	1685	78563
21	1763	78393
22	1839	78127
23	1914	77846
24	1991	77670
25	2067	77439
26	2143	77252
27	2222	77141
28	2297	76940
29	2374	76787
30	2452	76663
31	2526	76433
32	2604	76333
33	2679	76142
34	2755	75968
35	2830	75791
36	2905	75616
37	2982	75504
38	3058	75366
39	3133	75215
40	3208	75046
41	3283	74903
42	3360	74798
43	3440	74752
44	3519	74688
45	3594	74550
46	3669	74395
47	3743	74248
48	3818	74119
49	3894	73991
50	3969	73869
51	4049	73819
52	4125	73711
53	4199	73573
54	4276	73474
55	4353	73389
56	4427	73256
57	4502	73132
58	4577	73014
59	4652	72884
60	4726	72751
61	4801	72634
62	4874	72503
63	4950	72408
64	5026	72305
65	5100	72178
66	5175	72064
67	5249	71944
68	5323	71829
69	5397	71710
70	5472	71606
71	5548	71519
72	5622	71394
73	5697	71296
74	5770	71173
75	5844	71054
76	5918	70947
77	5992	70834
78	6066	70729
79	6142	70643
80	6216	70535
81	6294	70462
82	6376	70448
83	6461	70462
84	6536	70363
85	6611	70271
86	6686	70169
87	6760	70062
88	6834	69953
89	6908	69849
90	6980	69732
91	7056	69641
92	7131	69549
93	7205	69450
94	7284	69390
95	7357	69287
96	7431	69185
97	7506	69086
98	7581	69002
99	7654	68891
100	7729	68802
101	7802	68696
102	7878	68612
103	7951	68509
104	8028	68433
105	8101	68330
106	8176	68241
107	8251	68150
108	8325	68056
109	8400	67967
110	8478	67903
111	8551	67799
112	8624	67698
113	8697	67595
114	8771	67500
115	8845	67407
116	8918	67310
117	8993	67219
118	9069	67142
119	9144	67056
120	9216	66953
121	9297	66911
122	9370	66814
123	9445	66727
124	9522	66658
125	9595	66560
126	9687	66590
127	9765	66527
128	9841	66446
129	9915	66358
130	9988	66259
131	10062	66167
132	10138	66093
133	10215	66020
134	10291	65938
135	10366	65857
136	10443	65787
137	10519	65708
138	10593	65618
139	10670	65546
140	10747	65478
141	10823	65398
142	10899	65321
143	10975	65240
144	11049	65155
145	11125	65074
146	11198	64984
147	11275	64912
148	11353	64843
149	11429	64767
150	11505	64687
151	11581	64614
152	11657	64533
153	11731	64445
154	11807	64369
155	11880	64275
156	11954	64186
157	12029	64104
158	12104	64022
159	12177	63932
160	12251	63844
161	12326	63765
162	12400	63677
163	12474	63591
164	12549	63506
165	12623	63419
166	12696	63329
167	12770	63243
168	12844	63157
169	12916	63062
170	12990	62978
171	13068	62912
172	13144	62835
173	13217	62747
174	13291	62661
175	13369	62593
176	13442	62501
177	13516	62418
178	13588	62326
179	13662	62240
180	13741	62176
181	13815	62092
182	13889	62008
183	13965	61932
184	14042	61861
185	14115	61775
186	14190	61694
187	14265	61615
188	14339	61530
189	14413	61447
190	14492	61383
191	14565	61295
192	14639	61211
193	14712	61124
194	14788	61049
195	14861	60963
196	14935	60877
197	15010	60799
198	15085	60721
199	15159	60638
200	15233	60554
201	15308	60475
202	15381	60388
203	15455	60308
204	15528	60221
205	15601	60133
206	15673	60045
207	15746	59957
208	15820	59875
209	15893	59789
210	15966	59703
211	16038	59616
212	16112	59534
213	16185	59447
214	16259	59364
215	16330	59274
216	16404	59191
217	16477	59105
218	16553	59032
219	16625	58944
220	16698	58861
221	16771	58776
222	16845	58696
223	16918	58610
224	16991	58527
225	17071	58466
226	17144	58382
227	17222	58314
228	17298	58241
229	17369	58151
230	17443	58070
231	17518	57991
232	17590	57905
233	17669	57840
234	17743	57761
235	17818	57684
236	17896	57615
237	17968	57530
238	18042	57448
239	18131	57417
240	18205	57335
241	18280	57260
242	18353	57176
243	18430	57103
244	18510	57043
245	18586	56967
246	18659	56886
247	18733	56803
248	18811	56735
249	18885	56656
250	18962	56585
251	19035	56502
252	19114	56437
253	19186	56350
254	19260	56269
255	19333	56186
256	19406	56105
257	19484	56036
258	19556	55951
259	19629	55869
260	19700	55781
261	19773	55698
262	19849	55623
263	19921	55538
264	19995	55457
265	20069	55379
266	20145	55305
267	20221	55231
268	20296	55154
269	20370	55077
270	20447	55004
271	20522	54927
272	20598	54853
273	20672	54775
274	20746	54695
275	20821	54619
276	20898	54547
277	20972	54468
278	21046	54388
279	21119	54307
280	21191	54224
281	21268	54151
282	21345	54079
283	21422	54008
284	21498	53933
285	21572	53856
286	21654	53796
287	21728	53717
288	21802	53639
289	21873	53553
290	21946	53472
291	22020	53391
292	22093	53311
293	22166	53229
294	22240	53150
295	22313	53070
296	22387	52991
297	22461	52912
298	22534	52831
299	22609	52755
300	22684	52678
301	22758	52599
302	22831	52519
303	22906	52443
304	22984	52373
305	23061	52302
306	23134	52222
307	23207	52141
308	23280	52061
309	23353	51980
310	23427	51902
311	23502	51825
312	23577	51749
313	23653	51675
314	23725	51594
315	23797	51511
316	23872	51434
317	23944	51351
318	24019	51277
319	24094	51201
320	24169	51124
321	24243	51047
322	24317	50968
323	24390	50888
324	24463	50808
325	24535	50726
326	24609	50648
327	24682	50569
328	24755	50489
329	24828	50409
330	24904	50336
331	24978	50257
332	25051	50177
333	25123	50097
334	25196	50017
335	25270	49939
336	25343	49859
337	25417	49782
338	25493	49708
339	25568	49632
340	25640	49552
341	25712	49470
342	25786	49393
343	25859	49312
344	25931	49233
345	26005	49154
346	26078	49075
347	26150	48993
348	26227	48922
349	26299	48841
350	26371	48760
351	26446	48685
352	26519	48606
353	26593	48528
354	26664	48446
355	26736	48365
356	26810	48288
357	26887	48216
358	26960	48138
359	27037	48066
360	27112	47990
361	27183	47909
362	27255	47829
363	27329	47751
364	27402	47672
365	27479	47600
366	27551	47520
367	27624	47441
368	27697	47363
369	27770	47285
370	27843	47206
371	27917	47129
372	27990	47050
373	28064	46974
374	28137	46895
375	28210	46817
376	28287	46745
377	28361	46669
378	28435	46591
379	28507	46512
380	28579	46432
381	28652	46354
382	28726	46276
383	28799	46199
384	28873	46122
385	28946	46045
386	29020	45967
387	29097	45895
388	29169	45816
389	29242	45739
390	29315	45660
391	29389	45583
392	29467	45513
393	29542	45438
394	29615	45360
395	29688	45282
396	29761	45204
397	29835	45128
398	29920	45068
399	29994	44992
400	30068	44915
401	30142	44838
402	30216	44761
403	30291	44687
404	30366	44612
405	30441	44537
406	30518	44465
407	30593	44390
408	30667	44314
409	30742	44238
410	30814	44160
411	30889	44085
412	30962	44007
413	31036	43931
414	31111	43856
415	31187	43783
416	31260	43704
417	31336	43631
418	31415	43561
419	31488	43484
420	31563	43408
421	31639	43335
422	31715	43262
423	31793	43191
424	31866	43112
425	31940	43036
426	32012	42957
427	32085	42880
428	32156	42799
429	32230	42723
430	32305	42649
431	32378	42571
432	32451	42493
433	32527	42420
434	32599	42342
435	32674	42266
436	32748	42191
437	32822	42114
438	32895	42036
439	32967	41958
440	33040	41881
441	33113	41804
442	33188	41728
443	33261	41651
444	33334	41574
445	33408	41498
446	33480	41420
447	33553	41343
448	33629	41268
449	33702	41191
450	33778	41117
451	33851	41041
452	33923	40963
453	33996	40885
454	34070	40809
455	34145	40735
456	34218	40657
457	34292	40581
458	34364	40503
459	34436	40425
460	34510	40349
461	34582	40271
462	34654	40193
463	34729	40118
464	34801	40040
465	34877	39967
466	34950	39889
467	35020	39809
468	35092	39732
469	35166	39655
470	35238	39578
471	35311	39501
472	35384	39424
473	35457	39347
474	35532	39272
475	35605	39195
476	35679	39119
477	35753	39044
478	35825	38967
479	35897	38889
480	35972	38814
481	36046	38738
482	36119	38661
483	36191	38584
484	36266	38509
485	36339	38433
486	36414	38358
487	36489	38283
488	36562	38207
489	36635	38130
490	36708	38054
491	36782	37978
492	36853	37900
493	36932	37829
494	37004	37751
495	37077	37675
496	37150	37598
497	37222	37521
498	37294	37443
499	37368	37368
500	37441	37291
501	37512	37213
502	37585	37137
503	37657	37059
504	37734	36987
505	37805	36908
506	37878	36832
507	37951	36755
508	38023	36679
509	38099	36605
510	38171	36528
511	38244	36452
512	38318	36376
513	38391	36300
514	38464	36223
515	38536	36146
516	38609	36070
517	38683	35995
518	38756	35918
519	38828	35842
520	38899	35764
521	38971	35686
522	39044	35610
523	39121	35537
524	39195	35462
525	39269	35387
526	39342	35311
527	39414	35234
528	39488	35159
529	39564	35085
530	39635	35007
531	39709	34932
532	39781	34855
533	39852	34777
534	39928	34704
535	40002	34628
536	40074	34551
537	40147	34476
538	40219	34399
539	40291	34322
540	40366	34248
541	40442	34174
542	40517	34100
543	40591	34024
544	40664	33949
545	40737	33873
546	40813	33799
547	40888	33725
548	40963	33650
549	41037	33575
550	41111	33500
551	41185	33426
552	41261	33352
553	41333	33275
554	41410	33202
555	41483	33127
556	41563	33056
557	41648	32990
558	41724	32917
559	41798	32841
560	41871	32765
561	41943	32688
562	42014	32611
563	42085	32534
564	42159	32458
565	42233	32384
566	42306	32308
567	42380	32233
568	42453	32156
569	42526	32081
570	42599	32005
571	42671	31929
572	42746	31854
573	42818	31778
574	42889	31700
575	42962	31624
576	43034	31549
577	43106	31472
578	43183	31399
579	43257	31324
580	43331	31249
581	43403	31172
582	43475	31096
583	43548	31020
584	43622	30946
585	43698	30872
586	43769	30795
587	43844	30721
588	43915	30644
589	43991	30570
590	44063	30494
591	44137	30418
592	44209	30343
593	44285	30269
594	44358	30193
595	44431	30117
596	44505	30043
597	44578	29967
598	44650	29891
599	44723	29815
600	44795	29739
601	44867	29663
602	44939	29586
603	45011	29511
604	45083	29434
605	45156	29358
606	45229	29283
607	45301	29207
608	45374	29132
609	45446	29056
610	45519	28980
611	45592	28904
612	45664	28828
613	45735	28752
614	45809	28677
615	45882	28602
616	45957	28527
617	46030	28452
618	46103	28377
619	46175	28301
620	46247	28224
621	46319	28149
622	46392	28073
623	46466	27998
624	46538	27922
625	46612	27848
626	46687	27774
627	46758	27697
628	46830	27621
629	46902	27545
630	46975	27470
631	47049	27395
632	47123	27320
633	47196	27245
634	47269	27170
635	47341	27094
636	47415	27019
637	47487	26944
638	47560	26869
639	47631	26792
640	47710	26720
641	47785	26646
642	47859	26571
643	47930	26495
644	48005	26421
645	48077	26345
646	48149	26270
647	48223	26195
648	48297	26121
649	48371	26046
650	48443	25970
651	48516	25895
652	48590	25820
653	48664	25746
654	48737	25671
655	48807	25594
656	48879	25518
